tipo,pos,id_o_digits,len,snippet
OK,0,110016000050202448385,21,
OK,3198,110016000050202448385,21,
OK,6396,110016000050202448385,21,
OK,9594,110016000050202448385,21,
OK,12792,110016000050202448385,21,
OK,15990,110016000050202448385,21,
OK,19188,110016000050202448385,21,
OK,22386,110016000050202448385,21,
OK,25584,110016000050202448385,21,
OK,28782,110016000050202448385,21,
OK,31980,110016000050202448385,21,
OK,35178,110016000050202448385,21,
OK,38376,110016000050202448385,21,
OK,41574,110016000050202448385,21,
OK,44772,110016000050202448385,21,
OK,47970,110016000050202448385,21,
OK,51168,110016000050202448385,21,
OK,54366,110016000050202448385,21,
OK,57564,110016000050202448385,21,
OK,60762,110016000050202448385,21,
OK,63960,050016099166202411569,21,
OK,67900,050016099166202411569,21,
OK,71840,050016099166202411569,21,
OK,75780,050016099166202411569,21,
OK,79720,050016099166202411569,21,
OK,83660,050016099166202411569,21,
OK,87600,050016099166202411569,21,
OK,91540,050016099166202411569,21,
OK,95480,050016099166202411569,21,
OK,99420,050016099166202411569,21,
OK,103360,050016099166202411569,21,
OK,107300,050016099166202411569,21,
OK,111240,050016099166202411569,21,
OK,115180,050016099166202411569,21,
OK,119120,050016099166202411569,21,
OK,123060,050016099166202411569,21,
OK,127000,050016099166202411569,21,
OK,130940,050016099166202411569,21,
OK,134880,050016099166202411569,21,
OK,138820,050016099166202411569,21,
